,lyrics

[Saída: Kevinho & Anitta]
Chama, fio (An), Anitta (Hmm)
Quando você rebola, é tipo como? É tipo terremoto
Quem diria? Cê acredita?4Embed"
835,"​bury a friend Lyrics[Intro: Mehki Raine]
Billie

[Chorus: Billie Eilish]
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?

[Verse 1: Billie Eilish & Mehki Raine]
Come here
Say it, spit it out, what is it exactly
You're payin'? Is the amount cleanin' you out? Am I satisfactory?
Today, I'm thinkin' about the things that are deadly
The way I'm drinkin' you down
Like I wanna drown, like I wanna end me
[Refrain: Billie Eilish]
Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me

[Pre-Chorus: Billie Eilish]
I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…

[Chorus: Billie Eilish]
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?

[Verse 2: Billie Eilish & Mehki Raine]
Listen
Keep you in the dark, what had you expected?
Me to make you my art and make you a star
And get you connected?
I'll meet you in the park, I'll be calm and collected
But we knew right from the start that you'd fall apart
'Cause I'm too expensive
It's probably somethin' that shouldn't be said out loud
Honestly, I thought that I would be dead by now (Wow)
Calling security, keepin' my head held down
Bury the hatchet or bury a friend right now
[Bridge: Billie Eilish & Mehki Raine]
The debt I owe, gotta sell my soul
'Cause I can't say no, no, I can't say no
Then my limbs all froze and my eyes won't close
And I can't say no, I can't say no
Careful

[Refrain: Billie Eilish]
Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me
[Pre-Chorus: Billie Eilish]
I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…

[Chorus: Billie Eilish]
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?315Embed"
836,"Seu Crime Lyrics[Letra de ""Seu Crime"" com Pabllo Vittar]

[Verso]
Você chegou e me envolveu
E o meu corpo estremeceu
Me machucou, enfraqueceu
E o tempo que passou quem perdeu fui eu

[Pré-Refrão]
Pontes que queimei, festas que dancei
Deixei pra trás
Fotos que rasguei, coisas que eu nem sei
Não voltam mais
[Refrão]
Cê fala da boca pra fora
Não venha me pedir desculpas
Eu acho que passou da hora
De assumir a sua culpa
Seu crime foi me amar
Seu crime foi me amar

[Verso]
Você chegou e me envolveu
E o meu corpo estremeceu
Me machucou, enfraqueceu
E o tempo que passou quem perdeu fui eu

[Pré-Refrão]
Pontes que queimei, festas que dancei
Deixei pra trás
Fotos que rasguei, coisas que eu nem sei
Não voltam mais

[Refrão]
Cê fala da boca pra fora
Não venha me pedir desculpas
Eu acho que passou da hora
De assumir a sua culpa
Seu crime foi me amar
Seu crime foi me amar
Seu crime foi me amar
Seu crime foi me amar3Embed"
837,"Caderninho Lyrics[Verso 1]
Desde moleque sim, sempre foi o amor
Um dos problemas que o meu caderninho mais escutou
Mas não vale a pena
Diz que eu sou problema pra você
Desse jeito é mais fácil de se entender
Morena, vai pra longe de mim
Deixa a saudade piar
Qualquer hora a gente vai se encontrar
Mas não deixe que eu fale sobre sentimento
Se eu começo a falar, falar, falar, perco quase todo o meu tempo
Eu sumo na neblina e o corpo fica em brasa
Mais quente que Kendrick, eu solto o funk, a gente embrasa
Mas só por uma noite, como dizia o Chorão
Mina, leva, leva tudo, só não leva o meu coração
[Refrão]
Mina, cê me deixa
Gosto quando cê vem em casa e vaza antes do sol nascer
Sei que você quer romance
Flor e chocolate, minha erva, meu mate, mate-se de prazer
Você já sabe como eu sou, amanhã tem show
E depois nem sei pra onde vou
Então, mina, cê me deixa
Gosto quando cê vem em casa e vaza, o tempo já te avisou

[Verso 2]
Baby parece que seu moletom ficou aqui
Mas deixa que mais tarde eu uso ele pra dormir
Pô, vai que assim seu cheiro fica na minha pele né
E assim cê nem precisa ficar
Mas deixa pra lá
Que eu te quero as 3 da manhã
Mas meu tempo acaba às 6
Isso se tu botar uma roupa porque se ficar pelada assim cê pode ficar mais um mês
E é, sei lá, a vida corre, corre como se a gente fosse duas metades de um só
Tipo no filme, na novela, no conto de fada
Na beira da estrada, e a gente tentando soltar esse nó
Baby parece que seu moletom ficou aqui mas
Deixa que mais tarde eu levo aí pra cê vestir
Baby parece que seu coração ficou aqui
E eu, te deixo com o meu, depois cê pode ir
[Refrão]
Mina, cê me deixa
Gosto quando cê vem em casa e vaza antes do sol nascer
Sei que você quer romance
Flor e chocolate, minha erva, meu mate, mate-se de prazer
Você já sabe como eu sou, amanhã tem show
E depois nem sei pra onde vou
Então, mina, cê me deixa
Gosto quando cê vem em casa e vaza, o tempo já te avisou

[Saída]
Gosto quando cê vem em casa, nega
Já te avisouEmbed"
838,"​break up with your girlfriend, i’m bored Lyrics[Verse 1]
You got me some type of way (Hmm)
Ain't used to feelin' this way (Mmm-mmm)
I do not know what to say (Yeah, yeah)
But I know I shouldn't think about it
Took one fuckin' look at your face (Hmm)
Now I wanna know how you taste (Mmm-mmm)
Usually don't give it away (Yeah, yeah)
But you know I'm out here thinkin' 'bout it

[Pre-Chorus]
Then I realize she's right there
And I'm at home like, ""Damn, this ain't fair""
[Chorus]
Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (Mornin')
Yeah, yeah, like it's yours
I know it ain't right
But I don't care (Care)
Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored

[Verse 2]
This shit always happen to me (Yeah)
Why can't we just play for keeps? (Mmm-mmm)
Practically on my knees (Yeah, yeah)
But I know I shouldn't think about it
You know what you're doin' to me
You're singin' my songs in the streets, yeah, yeah
Actin' all innocent, please
When I know you out here thinkin' 'bout it

[Pre-Chorus]
Then you realize she's right there (Yeah)
And you're at home like, ""Damn, she can't compare""

[Chorus]
Break up with your girlfriend (Girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (In the mornin')
Yeah, yeah, like it's yours
I know it ain't right
But I don't care (I don't care, yee)
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored
[Post-Chorus]
With your girlfriend, girlfriend, girlfriend, girlfriend
With your girlfriend
With your girlfriend, girlfriend, girlfriend, girlfriend

[Bridge]
You could say I'm hatin' if you want to
But I only hate on her 'cause I want you
Say I'm trippin' if you feel like
But you without me ain't right (Ain't right)
You could call me crazy 'cause I want you
And I never even ever fuckin' met you
Say I'm trippin' and it ain't right
But you without me ain't nice (Ain't nice, yeah)

[Chorus]
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored
You could hit it in the mornin' (Hit in the mornin', yeah, yeah, yeah)
Yeah, yeah, like it's yours
I know it ain't right
But I don't care (Care, yeah)
Break up with your girlfriend (With your girlfriend)
Yeah, yeah, 'cause I'm bored

[Post-Chorus]
With your girlfriend, girlfriend, girlfriend, baby, girlfriend
With your girlfriend
With your girlfriend, girlfriend, girlfriend, girlfriend
With your girlfriend175Embed"
839,"​bloodline Lyrics[Intro: Marjorie Grande]
Because I'm trying to do the best I can
And they can't find something to satisfy me, ugh

[Verse 1: Ariana Grande]
Mmm, yeah, yuh
Even though you're bad for me, I know
You're the one that I'm thinkin'
Got me feelin' so incredible
Would you mind maybe linkin'?
[Pre-Chorus: Ariana Grande]
Love me, love me, baby
Are you down? Can you let me know?
Love me, thank you, leave me
Put it down, then it's time to go
Get it like you love me
But you don't, boy, it's just for show
Take it or leave it, you gotta take it or leave it like uh

[Chorus: Ariana Grande]
Don't want you in my bloodline, yeah
Just wanna have a good time, yeah
And no need to apologize, no
But you gon' have to let this shit go
Don't want you in my bloodline, yeah
Not tryna make you all mine, yeah
And no need to apologize, no
But you gon' have to let this shit go, yeah

[Post-Chorus: Ariana Grande]
Yeah-eh-eh
Yeah-eh
Yeah, yeah, yuh

[Verse 2: Ariana Grande]
No, we won't be talking the next day
I ain't got nothin' to say (Hell nah)
I ain't lookin' for my one true love
Yeah, that ship sailed away
[Pre-Chorus: Ariana Grande]
Love me, love me, baby
Are you down? Can you let me know?
Love me, thank you, leave me
Put it down, then it's time to go
Get it like you love me
But you don't, boy, it's just for show
Take it or leave it, you gotta take it or leave it like uh

[Chorus: Ariana Grande]
Don't want you in my bloodline, yeah
Just wanna have a good time, yeah
And no need to apologize, no
But you gon' have to let this shit go
Don't want you in my bloodline, yeah (Don't want you in my)
Not tryna make you all mine, yeah (Not tryna make you)
And no need to apologize, no (And no need to, yeah)
But you gon' have to let this shit go, yeah

[Post-Chorus: Ariana Grande]
Oh, yeah
Yeah-eh-eh
Yeah-eh
Yeah, yeah, yeah

[Bridge: Ariana Grande]
Say I know what you want, what you want from me
I know what you think, what you think you see (So what you think)
I know what you looking for, but I'm complete (Yee)
I know what you need, but it won't be me
I know what you want, what you want from me
I know what you think, what you think you see
I know what you looking for, but I'm complete
I know what you need, but it won't be me (But it won't be me)
[Chorus: Ariana Grande]
Don't want you in my bloodline, yeah (Don't want you in my bloodline)
Just wanna have a good time, yeah (Just tryna have a good time)
And no need to apologize, no (No)
But you gon' have to let this shit go (Yeah, yeah)
Don't want you in my bloodline, yeah
Not tryna make you all mine, yeah
And no need to apologize, no
But you gon' have to let this shit go, yeah

[Post-Chorus: Ariana Grande]
Woo
Yeah-eh-eh, yeah
Yeah, yeah, yeah
Yeah-eh-eh
Yeah, yeah, yeah
Yeah, yeah yeah73Embed"
840,"NASA Lyrics[Intro: Shangela Laquifa Wadley]
This is one small step for woman
One giant leap for woman-kind

[Verse 1]
I'd rather be alone tonight
You can say ""I love you"" through the phone tonight
Really don’t wanna be in your arms tonight
I'll just use my covers to stay warm tonight
Think I'm better off here all alone tonight
Ain’t no checkin' on when I get home tonight
Just makin' sure I'm good on my own tonight
Even though there isn't nothin' wrong tonight
[Pre-Chorus]
Yeah, I'm just sayin', baby
I can’t really miss you if I’m with you
And when I miss you, it'll change the way I kiss you
Baby, you know time apart is beneficial
It’s like I'm the universe and you be N-A-S-A

[Chorus]
Give you the whole world, I'ma need space
I'ma need space, I’ma, I'ma need
You know I'm a star; space, I'ma need space
I'ma need space, I'ma, I'ma need space (N-A-S-A)
Give you the whole world, I'ma need space
I'ma need space, I'ma, I'ma need
You know I'm a star; space, I'ma need space
I'ma need space, I'ma, I'ma need space (N-A-S-A)

[Verse 2]
Bottom line
Usually, I would love it if you stayed the night
I just think I'm on another page tonight
It ain't nothing wrong with saying I need me time
Usually, I would orbit around you
But gravity seems to be the only thing that's pulling me
You'll be my rise and shine soon as them stars align, mmm
[Pre-Chorus]
Baby, I can't really miss you if I'm with you
And when I miss you, it'll change the way I kiss you
Baby, you know time apart is beneficial
It's like I'm the universe and you be N-A-S-A

[Chorus]
Give you the whole world, I'ma need space
I'ma need space, I'ma, I'ma need
You know I'm a star; space, I'ma need space
I'ma need space, I'ma, I'ma need space (N-A-S-A)
Give you the whole world, I'ma need space
I'ma need space, I'ma, I'ma need
You know I'm a star; space, I'ma need space
I'ma need space, I'ma, I'ma need space (N-A-S-A)

[Bridge]
You don't wanna leave me, but I'm tryna self-discover
Keep me in your orbit and you know you'll drag me under
You don't wanna leave me, but I'm tryna self-discover
(You don't wanna leave me, but I'm tryna self-discover)
Keep me in your orbit and you know you'll drag me under
(Keep me in your orbit and you know you'll drag me under)

[Outro]
I'd rather be alone tonight (Mmm)
You can say ""I love you"" through the phone tonight
Ah, hmm-mmm103Embed"
841,"​needy Lyrics[Verse 1]
If you take too long to hit me back
I can't promise you how I’ll react
But all I can say is at least I'll wait for you
Lately, I've been on a roller coaster
Tryna get a hold of my emotions
But all that I know is I need you close

[Pre-Chorus]
I’ma scream and shout for what I love
Passionate, but I don't give no fucks
I admit that I'm a lil' messed up
But I can hide it when I'm all dressed up
I'm obsessive and I love too hard
Good at overthinking with my heart
How you even think it got this far, this far?
[Chorus]
And I can be needy, way too damn needy
I can be needy, tell me how good it feels to be needed
I can be needy, so hard to please me
I know it feels so good to be needed

[Verse 2]
Sorry if I'm up and down a lot (Yeah)
Sorry that I think I'm not enough
And sorry if I say sorry way too much
You can go ahead and call me selfish (Selfish)
But after all this damage, I can’t help it (Help it)
But what you can trust is I need your touch

[Pre-Chorus]
I’ma scream and shout for what I love
Passionate, but I don't give no fucks
I admit that I’m a lil' messed up
But I can hide it when I'm all dressed up
I'm obsessive and I love too hard
Good at overthinking with my heart
How you even think it got this far, this far?

[Chorus]
And I can be needy, way too damn needy
I can be needy, tell me how good it feels to be needed
I can be needy, so hard to please me
I know it feels so good to be needed132Embed"
842,"​bad idea Lyrics[Verse 1]
I've been outta sight
I've been worried 'bout you lately
Runnin' outta time
Wishin' you would come and save me

[Pre-Chorus]
'Cause I don't wanna roll with it (Yeah, yeah)
Tryna get control of it (Yeah, yeah)
Why can't I let go of it? (Yeah, yeah, mmm)
Gotta find somebody quickly (Mmm, yeah)
[Chorus]
I got a bad idea
How 'bout we take a little bit of time away?
I got a bad idea
Forget about it, yeah, forget about him, yeah
Forget about me (Ari-Chan)
I got a bad idea (Uh-huh)
Yeah, I'ma call you over here to numb the pain (Ari-Chan)
I got a bad idea (Uh-huh)
Forget about it, yeah, forget about him, yeah
Forget about me

[Verse 2]
Yeah, I know we shouldn't, baby, but we will (You know we will)
Need somebody, gimme something I can feel (Yeah)
But, boy, don't trip (Don't trip), you know this isn't real
You should know I'm temporary

[Pre-Chorus]
'Cause I don't wanna roll with it (Yeah, yeah)
Tryna get control of it (Yeah, yeah)
Why can't I let go of it? (Yeah, yeah, mmm)
Gotta find somebody quickly, yeah

[Chorus]
I got a bad idea
How 'bout we take a little bit of time away?
I got a bad idea
Forget about it, yeah, forget about him, yeah
Forget about me (Ari-Chan)
I got a bad idea (Uh-huh)
Yeah, I'ma call you over here to numb the pain (Ari-Chan)
I got a bad idea (Uh-huh)
Forget about it, yeah, forget about him, yeah
Forget about me
[Bridge]
Gotta get control of it
Why can't I let go of it? (Ooh)
Wishin' you would come and save me
Yeah, yeah-yeah, yeah, yeah

[Chorus]
I got a bad idea (Uh-huh)
How 'bout we take a little bit of time away? (Ari-Chan)
I got a bad idea (Oh yeah, yeah, uh-huh)
Forget about it, yeah, forget about him, yeah
Forget about me (Ari-Chan)
I got a bad idea (A bad idea, uh-huh)
Yeah, I'ma call you over here to numb the pain (Ari-Chan)
I got a bad idea (A bad idea, uh-huh)
Forget about it, yeah, forget about him, yeah
Forget about me (Ari-Chan)
Yeah (Uh-huh)
Forget about it, yeah, forget about him, yeah
Forget about me (Ari-Chan)
(Uh-huh)
Forget about it, yeah, forget about him, yeah
Forget about me

[Outro]
I got a bad idea
How 'bout we take a little bit of time away?
I got a bad idea
Forget about it, yeah, forget about him, yeah
Forget about me66Embed"
843,"​fake smile Lyrics[Intro: Wendy Rene]
After laughter comes tears
After laughter comes tears

[Verse 1]
Another night, another party, sayin' hi to everybody
I’m sorry, it's time to leave, I gotta leave now
Got somewhere I gotta be now, I'm starving
Can somebody walk me to my car?
If I go alone, I’m not gon' make it very far
I'm happy for the love and all of the above
If I'm being honest, I done been through way too much
[Pre-Chorus]
I can't fake another smile
I can't fake like I'm alright
Woo, ah (Woo, ah)
And I won't say I’m feeling fine
After what I been through, I can’t lie
Woo, ah (Woo, ah)

[Chorus]
Fuck a fake smile, smile
Fuck a fake smile, fake smile

[Verse 2]
I read the things they write about me
Hear what they're sayin’ on the TV, it's crazy
It's gettin' hard for them to shock me
But every now and then, it’s shocking, don't blame me
I know it's the life that I chose
But baby, I'm grateful, I want you to know
I'm happy for the love and all of the above
If I'm being honest, I done been through way too much

[Pre-Chorus]
I can't fake another smile
I can't fake like I'm alright
Woo, ah (Woo, ah)
And I won't say I'm feeling fine
After what I been through, I can't lie
Woo, ah (Woo, ah)
[Chorus]
Fuck a fake smile, smile
Fuck a fake smile, fake smile

[Bridge]
If I'm hurt, I ain't gon' lie about it
Arms crossed with the attitude, lips pouted
If I'm mad, I ain't gon' lie about it
Neck roll with the attitude, yuh
If I'm hurt, I ain't gon' lie about it
Arms crossed with the attitude, lips pouted
If I'm mad, I ain't gon' lie about it
Neck roll with the attitude, yuh

[Pre-Chorus]
I can't fake another smile (And I can't fake)
I can't fake like I'm alright (Another smile)
Woo, ah (Woo, ah) (Ooh)
And I won't say I'm feeling fine (I'm feeling fine)
After what I been through, I can't lie
Woo, ah (Woo, ah)

[Chorus]
Fuck a fake smile, smile
Fuck a fake smile, fake smile (Yeah)78Embed"
844,"​imagine Lyrics[Verse 1]
Step up, the two of us, nobody knows us
Get in the car like, ""Skrrt""
Staying up all night, order me pad thai
Then we gon' sleep 'til noon
Me with no makeup, you in the bathtub
Bubbles and bubbly, ooh
This is a pleasure, feel like we never act this regular

[Pre-Chorus]
Click, click, click and post
Drip-drip-dripped in gold
Quick, quick, quick, let's go
Kiss me and take off your clothes
[Chorus]
Imagine a world like that
Imagine a world like that
We go like up 'til I'm 'sleep on your chest
Love how my face fits so good in your neck
Why can't you imagine a world like that?
Imagine a world

[Verse 2]
Knew you were perfect after the first kiss
Took a deep breath like, ""Ooh""
Feels like forever, baby, I never thought that it would be you
Tell me your secrets, all of the creep shit
That's how I know it's true
Baby, direct it, name in the credits
Like the movies do

[Pre-Chorus]
Click, click, click and post
Drip-drip-dripped in gold
Quick, quick, quick, let's go
Kiss me and take off your clothes

[Chorus]
Imagine a world like that
Imagine a world like that
We go like up 'til I'm 'sleep on your chest
Love how my face fits so good in your neck
Why can't you imagine a world like that?
Imagine a world
[Outro]
Can you imagine it?
Can you imagine it?
Can you imagine it?
Can you imagine it?
Can you imagine it? (Can you imagine?)
Can you imagine it? (Can you imagine?)
Can you imagine it? (Can you imagine?)
Ooh, imagine it (Can you imagine?)
Imagine it, imagine it
Imagine it, imagine it
Imagine, imagine
Imagine, imagine
Imagine, imagine190Embed"
845,"Vem Amor Lyrics[Letra de ""Vem Amor"" com Ludmilla]

[Intro]
O refrão é com vocês, tá?

[Verso]
Já tava com saudade, amor, aonde você tava?
Olhei no zap e no Instagram, mas não te achava
Fui no seu portão, sua mãe me atendeu
Olhei pra cara dela, perguntei: Cadê o Mateus?
Ela me respondeu: Ele tá lá em cima
Vai, chama ele, só não demora, menina
Bagulho pegando fogo, aquele clima de maldade
Sexo com saudade, tá ligado, aí já sabe
[Refrão]
Vem amor bate e não para
Com o **** na minha cara
Vem amor bate e não para
Com o **** na minha cara
Vem amor bate e não para
Com o **** na minha cara
Vem amor bate e não para
Com o **** na minha cara
Vem amor, vem amor
Vem amor bate e não para
Vem amor, vem amor
Vem amor bate e não para
Vem amor, vem amor
Com o **** na minha cara

[Verso]
Já tava com saudade, amor, aonde você tava?
Olhei no zap e no Instagram, mas não te achava
Fui no seu portão, sua mãe me atendeu
Olhei pra cara dela, perguntei: Cadê o Mateus?
Ela me respondeu: Ele tá lá em cima
Vai, chama ele, só não demora, menina
Bagulho pegando fogo, aquele clima de maldade
Sexo com saudade, tá ligado, aí já sabe
[Refrão]
Vem amor bate e não para
Com o **** na minha cara
Vem amor bate e não para
Com o **** na minha cara
Vem amor bate e não para
Com o **** na minha cara
Vem amor bate e não para
Com o **** na minha cara
Vem amor, vem amor
Vem amor bate e não para
Vem amor, vem amor
Vem amor bate e não para
Vem amor, vem amor
Com o **** na minha cara1Embed"
846,"​ghostin Lyrics[Verse 1]
I know you hear me when I cry
I try to hold it in at night
While you're sleeping next to me
But it's your arms that I need this time (This time)
Look at the cards that we've been dealt
If you were anybody else
Probably wouldn't last a day
Every tear's a rain parade from hell (From hell)

[Pre-Chorus]
Baby, you do it so well
You've been so understanding, you've been so good
And I'm puttin' you through more than one ever should
And I'm hating myself 'cause you don't want to
Admit that it hurts you
[Chorus]
I know that it breaks your heart when I cry again
Over him, mmh
I know that it breaks your heart when I cry again
'Stead of ghostin' him

[Post-Chorus]
We'll get through this, we'll get past this, I'm a girl with
A whole lot of baggage
But I love you, we'll get past this, I'm a girl with
A whole lot of baggage, oh yeah

[Verse 2]
Though I wish he were here instead
Don't want that living in your head
He just comes to visit me
When I'm dreaming every now and then (And then)
And after all that we been through (And after all that we been through)
There's so much to look forward to
What was done and what was said
Leave it all here in this bed with you (With you)

[Pre-Chorus]
Baby, you do it so well
You've been so understanding, you've been so good
And I'm puttin' you through more than one ever should
And I'm hating myself 'cause you don't want to
Admit that it hurts you, baby
[Chorus]
I know that it breaks your heart when I cry again
Over him, mmh
I know that it breaks your heart when I cry again
'Stead of ghostin' him

[Post-Chorus]
We'll get through this, we'll get past this, I'm a girl with (Girl with)
A whole lot of baggage
But I love you (Love you), we'll get past this (Past this)
I'm a girl with a whole lot of baggage, yeah yeah195Embed"
847,"​in my head Lyrics[Intro: Doug Middlebrook]
Here's the thing: you’re in love with a version of a person that you've created in your head, that you are trying to but cannot fix. Uh, the only person you can fix is yourself. I love you, this has gone on way too long. Enough is enough. I'm two blocks away, I’m coming over.​

[Verse 1: Ariana Grande]
Painted a picture, I thought I knew you well
I got a habit of seeing what isn't there
Caught in the moment, tangled up in your sheets
When you broke my heart, I said you only wanted half of me

[Pre-Chorus: Ariana Grande]
My imagination's too creative
They see demon, I see angel, angel (Angel), angel
Without the halo, wingless angel
[Chorus: Ariana Grande]
Falling, falling, but I never thought you'd leave me
Falling, falling, needed something to believe in, oh
I thought you were the one
But it was all in my head
It was all in my head (Skrrt, skrrt)

[Post-Chorus: Ariana Grande]
Yeah, look at you (You), boy, I invented you
Your Gucci tennis shoes, runnin' from your issues
Cardio good for the heart (For the heart)
I figured we could work it out, hmm

[Verse 2: Ariana Grande]
Painted a picture; I thought I drew you well
I had a vision, seeing what isn't there
Caught in the moment, tangled up in your sheets
When you broke my heart, said you only wanted half of me

[Pre-Chorus: Ariana Grande]
My imagination's too creative
They see Cain and I see Abel (Abel), Abel (Abel), Abel
I know you're able, willin’ and able

[Chorus: Ariana Grande]
Falling, falling, boy, I thought that you would need me
Falling, falling, needed something to believe in, oh
I thought you were the one
But it was all in my head
It was all in my head (Skrrt, skrrt)
[Post-Chorus: Ariana Grande]
Yeah, look at you (You), boy, I invented you
Your Gucci tennis shoes, runnin’ from your issues
Cardio good for the heart (For the heart)
I figured we could work it out, hmm

[Bridge: Ariana Grande]
Wanted you to grow, but, boy, you wasn't budding
Everything you are made you everything you aren’t
I saw your potential without seein' credentials
Maybe that's the issue (Damn, damn)
Said maybe that's the issue, ah
Can’t hold that shit against you, ah
Guess I did it to myself, yeah
Thought you were somebody else, you

[Outro]
Thought you were somebody else, you (You)
Thought you were somebody else, you103Embed"
848,"​make up Lyrics[Verse 1]
I like to fuck with you just to make up with you
'Cause the way you be screamin’ my name
Make me wanna make love to you
I might break up with you just to make up with you
At the end of the day, boy
You know that I'm 'bout to wake up with you

[Chorus]
I love it when we make up (Yeah-eh-eh)
Go ’head, ruin my makeup (Yeah-eh-eh)
I love it when we make up (Yeah-eh-eh)
Go 'head, ruin my makeup (Yeah-eh-eh)
[Verse 2]
My energy and attitude don't really coincide
I'm stayin' mad all day so we can let it out tonight
Bring you to the bed where we can really make it right
Sorry-in-a-box so when it pops, surprise, surprise

[Chorus]
I love it when we make up (Yeah-eh-eh)
Go 'head, ruin my makeup (Yeah-eh-eh)
I love it when we make up (Yeah-eh-eh)
Go 'head, ruin my makeup (Yeah-eh-eh)

[Verse 3]
Promise me that when you kiss my lips, you'll make it stick
That’s the way to shut me up after an argument
No eyeliner on, but looking at you is the fix
Highlight of my life, just like that Fenty Beauty kit
Boy, you know what it is

[Chorus]
I love it when we make up (Yeah-eh-eh)
Go ’head, ruin my makeup (Yeah-eh-eh)
I love it when we make up (Yeah-eh-eh)
Go 'head, ruin my makeup (Yeah-eh-eh)

[Bridge]
Let me stay in my bag ’cause I like when you mad
It's a mood, it's a vibe, it's a look, it’s a match
Attitude, dream of mine (Dream of mine)
When you say that I'm right (That I'm right)
And I find that it works every time
[Chorus]
And I love it when we make up (Yeah-eh-eh)
(And I love it when we make up)
Go 'head, ruin my makeup (Yeah-eh-eh)
(Go 'head, ruin my makeup)
I love it when we make up (Yeah-eh-eh)
(And I love it when we make up)
Go 'head, ruin my makeup (Yeah-eh-eh)
(Go ahead, ruin my makeup, yuh)

[Outro]
Yeah-yeah, yeah-yeah, yeah-yeah
Oh no, yeah-yeah, yeah-yeah
Mmm, yeah-yeah, yeah-yeah, yeah-yeah, uh-huh63Embed"
849,"Who Do You Love Lyrics[Verse 1: Luke]
Yeah
Found cigarettes in your Fendi coat
Even though you don't even smoke
Always changin' your access codes
Yeah, I can tell you no one knew

[Pre-Chorus: Luke]
Yeah, you've been actin' so conspicuous
You flip it on me, say I think too much
You're movin' different when we makin' love
Baby, tell me, tell me
[Chorus: Luke & Ashton]
Who do you love, do you love now?
I wanna know the truth (Woah)
Who do you love, do you love now?
I know it's someone new
You ain't gotta make it easy, where you been sleepin'?
This shit is keepin' me up at night, just admit it
Who do you love, do you love now?
I wanna know, I wanna know who

[Post-Chorus: All]
Now, now, who do you, who do you love, love? (Yeah)
Now, now, who do you, who do you love now? (Woah)
Now, now, who do you, who do you love, love? (Yeah)
I wanna know, I wanna know who

[Verse 2: Calum]
Well, keep switchin' your alibi
Or stutterin' when you reply
You can't even look me in the eye
Oh, I can tell, I know you're lyin'

[Pre-Chorus: Calum]
'Cause you've been actin' so conspicuous
You flip it on me, say I think too much
We're movin' different while we're makin' love
So, baby, tell me, tell me
[Chorus: Luke & Ashton]
Who do you love, do you love now?
I wanna know the truth (Woah)
Who do you love, do you love now?
I know it's someone new
You ain't gotta make it easy, where you been sleepin'?
This shit is keepin' me up at night, just admit it
Who do you love, do you love now?
I wanna know, I wanna know who

[Post-Chorus: All]
Now, now, who do you, who do you love, love? (Yeah)
Now, now, who do you, who do you love now? (Woah)
Now, now, who do you, who do you love, love? (Yeah)
I wanna know, I wanna know who

[Pre-Chorus: Michael & All]
(Who) You been actin' so conspicuous
(Who) You flip it on me, say I think too much
(Who) Movin' different when we makin' love
(Who) Baby, tell me, tell me

[Chorus: Luke & Ashton]
Who do you love, do you love now?
I wanna know the truth (Woah)
Who do you love, do you love now?
I know it's someone new
You ain't gotta make it easy, where you been sleepin'?
This shit is keepin' me up at night, just admit it
Who do you love, do you love now?
I wanna know, I wanna know who
[Post-Chorus: All]
Now, now, who do you, who do you love, love?
Now, now, who do you, who do you love now?
Now, now, who do you, who do you love, love?
Now, now, who do you, who do you love now?

[Chorus: Luke & Ashton]
You ain't gotta make it easy, where you been sleepin'?
This shit is keepin' me up at night, just admit it
Who do you love, do you love now?
I wanna know, I wanna know who

[Outro: All]
Who do you, who do you love, love?
Now, now, who do you, who do you love now?
Now, now, who do you, who do you love, love?42Embed"
